Total,Clearance,Circulation,PairwiseDistance,PairwiseAngle,ConversationDistance,ConversationAngle,Balance,Alignment,WallAlignment,Symmetry,Emphasis,AcceptanceProbability,Iteration
-73.583440,0.000000,0.000000,-1.134517,-1.936262,-3.208562,-3.659795,0.798932,-9.420568,-4.681871,8.308711,-1.091099,0.958716,175.000000
-73.680250,0.000000,0.000000,-1.136626,-1.936262,-3.208562,-3.659795,0.812914,-9.487823,-4.660041,8.308711,-1.091099,1.000000,176.000000
-73.510640,0.000000,0.000000,-1.133790,-1.936262,-3.208562,-3.659795,0.794070,-9.384850,-4.686132,8.308711,-1.091099,0.843995,177.000000
-71.962880,0.001538,0.000000,-0.117377,-2.045289,-3.208562,-3.659795,0.827966,-9.384850,-4.686132,8.308711,-1.091099,0.212722,178.000000
-73.314110,0.000000,0.000000,-0.740102,-2.068257,-3.208562,-3.659795,0.840156,-9.384850,-4.686132,8.308711,-1.091099,1.000000,179.000000
-73.560490,0.000000,0.000000,-0.827219,-2.068257,-3.208562,-3.659795,0.877970,-9.499409,-4.623119,8.308711,-1.091099,1.000000,180.000000
-72.467350,0.005737,0.000000,-0.119238,-2.149702,-3.208562,-3.659795,0.911285,-9.499409,-4.623119,8.308711,-1.091099,0.335165,181.000000
-72.393760,0.001655,0.000000,-0.122254,-2.126740,-3.208562,-3.659795,0.904160,-9.499409,-4.623119,8.308711,-1.091099,0.929050,182.000000
-72.018490,0.005351,0.000000,-0.124339,-2.126740,-3.208562,-3.659795,0.924506,-9.433252,-4.558577,8.308711,-1.091099,0.687106,185.000000
-73.601650,0.000000,0.000000,-1.133868,-2.019773,-3.208562,-3.659795,0.879950,-9.433252,-4.558577,8.308711,-1.091099,1.000000,186.000000
-73.725750,0.000000,0.000000,-1.133206,-2.019773,-3.208562,-3.659795,0.874906,-9.460438,-4.578534,8.308711,-1.091099,1.000000,187.000000
-69.046680,0.005968,0.000000,-0.140721,-2.019773,-3.208562,-3.659795,0.929831,-8.747284,-4.261324,8.308711,-1.091099,0.009288,188.000000
-69.164140,0.005326,0.000000,-0.140505,-2.019773,-3.208562,-3.659795,0.928327,-8.780221,-4.273100,8.308711,-1.091099,1.000000,192.000000
-72.837550,0.000000,0.000000,-1.136687,-2.019773,-3.208562,-3.659795,0.901000,-9.240664,-4.455898,8.308711,-1.091099,1.000000,194.000000
-73.061870,0.000000,0.000000,-1.135990,-2.019773,-3.208562,-3.659795,0.895865,-9.299871,-4.483899,8.308711,-1.091099,1.000000,196.000000
-73.135090,0.000000,0.000000,-1.135746,-2.019773,-3.208562,-3.659795,0.894052,-9.318842,-4.493323,8.308711,-1.091099,1.000000,197.000000
-73.702970,0.000000,0.000000,-1.136199,-2.005818,-3.208562,-3.662004,0.872229,-9.566113,-4.480269,8.302583,-1.090183,1.000000,200.000000
-73.154000,0.000000,0.000000,-1.135757,-2.019435,-3.208562,-3.659859,0.893485,-9.326588,-4.493301,8.308680,-1.091094,0.577543,201.000000
-73.497030,0.000000,0.000000,-1.135966,-2.026505,-3.208562,-3.658374,0.883403,-9.449907,-4.490139,8.307905,-1.090979,1.000000,202.000000
-72.578750,0.000000,0.000000,-1.135391,-2.017571,-3.011569,-3.650481,0.868179,-9.449907,-4.490139,8.366898,-1.090002,0.399205,203.000000
-76.431560,0.000000,0.000000,-1.148766,-2.041755,-3.660372,-3.706052,0.962505,-9.449907,-4.490139,7.369788,-1.010878,1.000000,204.000000
